Term,P-value,Adjusted P-value,Combined Score,Genes,Library
Inner Ear Receptor Cell Development (GO:0060119),0.00016986300982591541,0.048315295014993626,1202.2517804391236,IFT88;WHRN,GO_Biological_Process_2023
Inner Ear Receptor Cell Stereocilium Organization (GO:0060122),0.000332063883264561,0.048315295014993626,739.4956618223716,IFT88;WHRN,GO_Biological_Process_2023
Neuron Projection Extension (GO:1990138),0.0042784069542198405,0.13644338324598476,122.3074073504305,NRN1;EIF2AK4,GO_Biological_Process_2023
Sensory Perception (GO:0007600),0.00722250262714212,0.13644338324598476,83.43788300609687,WHRN;CDH23,GO_Biological_Process_2023
Post-Transcriptional Regulation Of Gene Expression (GO:0010608),0.008955160836496808,0.13644338324598476,71.07225417227201,TCOF1;METTL16,GO_Biological_Process_2023
Pexophagy (GO:0000425),0.012438777192772534,0.13644338324598476,446.4379351400606,USP30,GO_Biological_Process_2023
Cellular Response To Cold (GO:0070417),0.012438777192772534,0.13644338324598476,446.4379351400606,EIF2AK4,GO_Biological_Process_2023
Regulation Of System Process (GO:0044057),0.012438777192772534,0.13644338324598476,446.4379351400606,MTG2,GO_Biological_Process_2023
Proton-Transporting V-type ATPase Complex Assembly (GO:0070070),0.012438777192772534,0.13644338324598476,446.4379351400606,PIP4P1,GO_Biological_Process_2023
Glycosyl Compound Biosynthetic Process (GO:1901659),0.012438777192772534,0.13644338324598476,446.4379351400606,TYW1,GO_Biological_Process_2023
