Term,P-value,Adjusted P-value,Combined Score,Genes,Library
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.014908284799373634,0.35201953379775897,342.3895623444841,GOT2,KEGG_2021_Human
Shigellosis,0.023572132192873366,0.35201953379775897,19.399981318373513,C3;UBE2V1;SEPTIN11,KEGG_2021_Human
Sulfur metabolism,0.02472594881725805,0.35201953379775897,167.3010120823387,PAPSS1,KEGG_2021_Human
Herpes simplex virus 1 infection,0.03555791814513759,0.35201953379775897,11.426992083136296,C3;ZNF649;EIF2AK4;ZNF552,KEGG_2021_Human
Selenocompound metabolism,0.04167665479123348,0.35201953379775897,80.79916728086499,PAPSS1,KEGG_2021_Human
Phenylalanine metabolism,0.04167665479123348,0.35201953379775897,80.79916728086499,GOT2,KEGG_2021_Human
Arginine biosynthesis,0.05360719859925478,0.35201953379775897,56.67024999786951,GOT2,KEGG_2021_Human
Mismatch repair,0.05597578058787951,0.35201953379775897,53.29235549319145,PMS2,KEGG_2021_Human
Protein export,0.05597578058787951,0.35201953379775897,53.29235549319145,SRPRB,KEGG_2021_Human
Proximal tubule bicarbonate reclamation,0.05597578058787951,0.35201953379775897,53.29235549319145,ATP1A1,KEGG_2021_Human
