Term,P-value,Adjusted P-value,Combined Score,Genes,Library
Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,0.000315376219123607,0.039643806762844146,204.80261014345277,WHRN;CDH23;SPTAN1,Reactome_2022
Selective Autophagy R-HSA-9663891,0.0004777604359734098,0.039643806762844146,167.39054801840658,IFT88;USP30;UBE2V1,Reactome_2022
Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,0.0006292667740133991,0.039643806762844146,146.18897916479884,WHRN;CDH23;SPTAN1,Reactome_2022
Sensory Processing Of Sound R-HSA-9659379,0.0008746267241459595,0.04132611271589659,124.09147007242574,WHRN;CDH23;SPTAN1,Reactome_2022
Aggrephagy R-HSA-9646399,0.001632124977335775,0.06169432414329229,242.22606459531664,IFT88;UBE2V1,Reactome_2022
Macroautophagy R-HSA-1632852,0.002909029312170023,0.09163442333335572,66.623626679358,IFT88;USP30;UBE2V1,Reactome_2022
Autophagy R-HSA-9612973,0.00403002265896121,0.10881061179195266,55.82028180525176,IFT88;USP30;UBE2V1,Reactome_2022
Diseases Of Mismatch Repair (MMR) R-HSA-5423599,0.012438777192772534,0.25615143882560154,446.4379351400606,PMS2,Reactome_2022
Activation Of C3 And C5 R-HSA-174577,0.014908284799373634,0.25615143882560154,342.3895623444841,C3,Reactome_2022
Synthesis Of Wybutosine At G37 Of tRNA(Phe) R-HSA-6782861,0.014908284799373634,0.25615143882560154,342.3895623444841,TYW1,Reactome_2022
