feature,mean_abs_shap
ENSG00000135093,1.3687246
ENSG00000151952,0.6551595
ENSG00000182809,0.4996844
ENSG00000185024,0.4562752
ENSG00000198874,0.3908022
ENSG00000067365,0.364303
ENSG00000101181,0.3016859
ENSG00000197694,0.2885282
ENSG00000100473,0.27061254
ENSG00000138758,0.23757216
ENSG00000134897,0.1685023
ENSG00000107736,0.14397661
ENSG00000182362,0.14108104
ENSG00000167291,0.13729338
ENSG00000178935,0.13667843
ENSG00000138801,0.12658794
ENSG00000198093,0.122714065
ENSG00000008438,0.1220426
ENSG00000128829,0.11747147
ENSG00000110881,0.11602876
ENSG00000144867,0.114780895
ENSG00000125166,0.11065527
ENSG00000125740,0.109286614
ENSG00000248323,0.1073571
ENSG00000127804,0.10458281
ENSG00000131558,0.1043926
ENSG00000010626,0.098865494
ENSG00000165782,0.09572555
ENSG00000184497,0.09228641
ENSG00000083457,0.09203677
ENSG00000244687,0.09095216
ENSG00000124785,0.09023645
ENSG00000163399,0.088265315
ENSG00000172890,0.08821029
ENSG00000125775,0.08722043
ENSG00000089876,0.07909335
ENSG00000178163,0.077199005
ENSG00000077809,0.07151025
ENSG00000130518,0.07019674
ENSG00000070814,0.069000304
ENSG00000198225,0.06885348
ENSG00000246430,0.06074902
ENSG00000196526,0.055754635
ENSG00000095397,0.05414411
ENSG00000122512,0.051800203
ENSG00000090863,0.051543847
ENSG00000032742,0.047671057
ENSG00000119537,0.047670327
ENSG00000187808,0.047329836
ENSG00000125730,0.04732093
